date,weekday_name,is_weekend,time_slot,item,category,sales_qty,price,sales_amount,temperature,precip_type,is_rain_snow,is_holiday,is_vacation,season_period
2024-01-01,월,False,07-09,글레이즈도넛,도넛류,3,1700,5100,3.3,맑음,False,True,True,평시
2024-01-01,월,False,07-09,마카롱,디저트,3,2200,6600,3.3,맑음,False,True,True,평시
2024-01-01,월,False,07-09,모카빵,조리빵,2,2500,5000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,07-09,소금빵,조리빵,2,2000,4000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,07-09,소보로빵,조리빵,3,1500,4500,3.3,맑음,False,True,True,평시
2024-01-01,월,False,07-09,식빵,식사빵,1,5000,5000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,07-09,아메리카노,음료,2,2500,5000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,07-09,조각케이크,케이크류,1,4500,4500,3.3,맑음,False,True,True,평시
2024-01-01,월,False,07-09,찹쌀도넛,도넛류,4,1500,6000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,07-09,크루아상,페이스트리,2,2800,5600,3.3,맑음,False,True,True,평시
2024-01-01,월,False,07-09,크림빵,조리빵,1,1800,1800,3.3,맑음,False,True,True,평시
2024-01-01,월,False,09-11,글레이즈도넛,도넛류,1,1700,1700,3.3,맑음,False,True,True,평시
2024-01-01,월,False,09-11,단팥빵,조리빵,7,1600,11200,3.3,맑음,False,True,True,평시
2024-01-01,월,False,09-11,마늘바게트,페이스트리,2,4000,8000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,09-11,마카롱,디저트,3,2200,6600,3.3,맑음,False,True,True,평시
2024-01-01,월,False,09-11,모카빵,조리빵,3,2500,7500,3.3,맑음,False,True,True,평시
2024-01-01,월,False,09-11,바게트,식사빵,3,3500,10500,3.3,맑음,False,True,True,평시
2024-01-01,월,False,09-11,소금빵,조리빵,5,2000,10000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,09-11,소보로빵,조리빵,10,1500,15000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,09-11,식빵,식사빵,5,5000,25000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,09-11,아메리카노,음료,3,2500,7500,3.3,맑음,False,True,True,평시
2024-01-01,월,False,09-11,조각케이크,케이크류,2,4500,9000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,09-11,찹쌀도넛,도넛류,6,1500,9000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,09-11,크루아상,페이스트리,2,2800,5600,3.3,맑음,False,True,True,평시
2024-01-01,월,False,09-11,크림빵,조리빵,4,1800,7200,3.3,맑음,False,True,True,평시
2024-01-01,월,False,11-13,글레이즈도넛,도넛류,5,1700,8500,3.3,맑음,False,True,True,평시
2024-01-01,월,False,11-13,단팥빵,조리빵,8,1600,12800,3.3,맑음,False,True,True,평시
2024-01-01,월,False,11-13,롤케이크,케이크류,1,15000,15000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,11-13,마늘바게트,페이스트리,5,4000,20000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,11-13,마카롱,디저트,1,2200,2200,3.3,맑음,False,True,True,평시
2024-01-01,월,False,11-13,모카빵,조리빵,4,2500,10000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,11-13,바게트,식사빵,3,3500,10500,3.3,맑음,False,True,True,평시
2024-01-01,월,False,11-13,소금빵,조리빵,4,2000,8000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,11-13,소보로빵,조리빵,11,1500,16500,3.3,맑음,False,True,True,평시
2024-01-01,월,False,11-13,식빵,식사빵,2,5000,10000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,11-13,아메리카노,음료,6,2500,15000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,11-13,조각케이크,케이크류,3,4500,13500,3.3,맑음,False,True,True,평시
2024-01-01,월,False,11-13,찹쌀도넛,도넛류,3,1500,4500,3.3,맑음,False,True,True,평시
2024-01-01,월,False,11-13,카스테라,케이크류,3,12000,36000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,11-13,크루아상,페이스트리,11,2800,30800,3.3,맑음,False,True,True,평시
2024-01-01,월,False,11-13,크림빵,조리빵,3,1800,5400,3.3,맑음,False,True,True,평시
2024-01-01,월,False,13-15,글레이즈도넛,도넛류,4,1700,6800,3.3,맑음,False,True,True,평시
2024-01-01,월,False,13-15,단팥빵,조리빵,5,1600,8000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,13-15,마늘바게트,페이스트리,2,4000,8000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,13-15,마카롱,디저트,3,2200,6600,3.3,맑음,False,True,True,평시
2024-01-01,월,False,13-15,모카빵,조리빵,5,2500,12500,3.3,맑음,False,True,True,평시
2024-01-01,월,False,13-15,바게트,식사빵,2,3500,7000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,13-15,소금빵,조리빵,2,2000,4000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,13-15,소보로빵,조리빵,7,1500,10500,3.3,맑음,False,True,True,평시
2024-01-01,월,False,13-15,식빵,식사빵,3,5000,15000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,13-15,조각케이크,케이크류,7,4500,31500,3.3,맑음,False,True,True,평시
2024-01-01,월,False,13-15,찹쌀도넛,도넛류,8,1500,12000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,13-15,카스테라,케이크류,3,12000,36000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,13-15,크루아상,페이스트리,4,2800,11200,3.3,맑음,False,True,True,평시
2024-01-01,월,False,13-15,크림빵,조리빵,4,1800,7200,3.3,맑음,False,True,True,평시
2024-01-01,월,False,15-17,글레이즈도넛,도넛류,1,1700,1700,3.3,맑음,False,True,True,평시
2024-01-01,월,False,15-17,단팥빵,조리빵,6,1600,9600,3.3,맑음,False,True,True,평시
2024-01-01,월,False,15-17,마늘바게트,페이스트리,2,4000,8000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,15-17,마카롱,디저트,1,2200,2200,3.3,맑음,False,True,True,평시
2024-01-01,월,False,15-17,모카빵,조리빵,2,2500,5000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,15-17,바게트,식사빵,1,3500,3500,3.3,맑음,False,True,True,평시
2024-01-01,월,False,15-17,소금빵,조리빵,4,2000,8000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,15-17,소보로빵,조리빵,4,1500,6000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,15-17,식빵,식사빵,4,5000,20000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,15-17,아메리카노,음료,3,2500,7500,3.3,맑음,False,True,True,평시
2024-01-01,월,False,15-17,조각케이크,케이크류,3,4500,13500,3.3,맑음,False,True,True,평시
2024-01-01,월,False,15-17,찹쌀도넛,도넛류,2,1500,3000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,15-17,크루아상,페이스트리,2,2800,5600,3.3,맑음,False,True,True,평시
2024-01-01,월,False,15-17,크림빵,조리빵,5,1800,9000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,17-19,글레이즈도넛,도넛류,3,1700,5100,3.3,맑음,False,True,True,평시
2024-01-01,월,False,17-19,단팥빵,조리빵,2,1600,3200,3.3,맑음,False,True,True,평시
2024-01-01,월,False,17-19,롤케이크,케이크류,1,15000,15000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,17-19,마늘바게트,페이스트리,3,4000,12000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,17-19,마카롱,디저트,2,2200,4400,3.3,맑음,False,True,True,평시
2024-01-01,월,False,17-19,모카빵,조리빵,3,2500,7500,3.3,맑음,False,True,True,평시
2024-01-01,월,False,17-19,소금빵,조리빵,3,2000,6000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,17-19,소보로빵,조리빵,6,1500,9000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,17-19,식빵,식사빵,2,5000,10000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,17-19,아메리카노,음료,2,2500,5000,3.3,맑음,False,True,True,평시
2024-01-01,월,False,17-19,조각케이크,케이크류,2,4500,9000,3.3,맑음,False,True,True,평시
